Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  8.29      0.16     0.16   409600     0.00     0.00  sum_neighbours(BoolGrid2D const&, int, int)
  7.77      0.31     0.15  4354678     0.00     0.00  BoolChunkLoader::get(Vect2<int>) const
  6.22      0.43     0.12 14292863     0.00     0.00  Vect2<int>::Vect2(int, int)
  5.18      0.53     0.10  4088903     0.00     0.00  BoolChunk::read(int, int) const
  4.15      0.61     0.08  9060343     0.00     0.00  std::__detail::_Hashtable_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(Vect2<int> const&, unsigned long, std::__detail::_Hash_node_value<std::pair<Vect2<int> const, BoolChunk*>, false> const&) const
  3.63      0.68     0.07  9262797     0.00     0.00  std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, Vect2<int> const&, unsigned long) const
  3.63      0.75     0.07  9262795     0.00     0.00  std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(Vect2<int> const&)
  3.63      0.82     0.07  4764285     0.00     0.00  Vect2<int>::operator-(Vect2<int> const&)
  3.63      0.89     0.07  4498510     0.00     0.00  std::unordered_map<Vect2<int>, BoolChunk*, std::hash<Vect2<int> >, std::equal_to<Vect2<int> >, std::allocator<std::pair<Vect2<int> const, BoolChunk*> > >::at(Vect2<int> const&)
  3.63      0.96     0.07  4498510     0.00     0.00  std::__detail::_Map_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::at(Vect2<int> const&)
  3.11      1.02     0.06 14027382     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<Vect2<int> const, BoolChunk*>, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>*)
  3.11      1.08     0.06  9262797     0.00     0.00  std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, Vect2<int> const&, unsigned long) const
  3.11      1.14     0.06  9060853     0.00     0.00  std::pair<Vect2<int> const, BoolChunk*> const& std::forward<std::pair<Vect2<int> const, BoolChunk*> const&>(std::remove_reference<std::pair<Vect2<int> const, BoolChunk*> const&>::type&)
  2.59      1.19     0.05  4764285     0.00     0.00  std::unordered_map<Vect2<int>, BoolChunk*, std::hash<Vect2<int> >, std::equal_to<Vect2<int> >, std::allocator<std::pair<Vect2<int> const, BoolChunk*> > >::find(Vect2<int> const&)
  2.33      1.24     0.04  9060445     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<Vect2<int> const, BoolChunk*> >::_M_ptr() const
  2.07      1.27     0.04 14027382     0.00     0.00  std::__detail::_Node_iterator<std::pair<Vect2<int> const, BoolChunk*>, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>*)
  2.07      1.31     0.04  9262899     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<Vect2<int> >, true>::_M_cget() const
  2.07      1.35     0.04  9060445     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<Vect2<int> const, BoolChunk*> >::_M_valptr() const
